?"Artikelnummer";"GTIN/EAN";"Bezeichnung";"Beschreibung";"Notiz";"Einheit";"Steuerart";"VK (Netto)"
"7000411";"";"Bittest";"Durchführung Bittest mit dem Netzbetreiber

- Vorbereitung der Fernwirkanlage
- IBN der Fernwirkanlage
- Durchführung des Bittest in Anwesenheit des Netzbetreibers

inklusive An- und Abfahrtskosten";"";"Stunde";"USt19";"2000,00"
"4000725";"";"Bürdemessung";"Bürdemessung aller verdrahteten Stromwandlerkerne und Spannungswandlerwicklungen

- ausgehend vom Klemmbrett der MS-Wandler
- lösen der Anschlüsse und Durchführung der Bürdemessung
- Erstellen eines Protkolls";"";"Stück";"USt19";"420,00"
"9000200";"";"Bürdemessung";"'- Bürdemessung aller Strom- und Spannungswandlerkreise, im Falle angeschlossener Messgeräte

Anmerkung: In der Regel wird der Zähler vom Netzbetreiber erst später eingebaut. In diesem Fall ist es technisch nicht sinnvoll die Bürde zu messen. Eine Verdrahtungsprüfung wird in jedem Fall durchgeführt.";"";"Stück";"USt19";"0,00"
"900500";"";"Bürdemessung Zähler";"Messung der Bürde aller Strom- und Spannungswandler in Bezug auf den Zähler.
Vorführung der einzelnen Phasen eines jedes Wandlers, kontrolle auf Phase und Verdrahtung zum Zähler.
Anpassung des Schutzprüfprotolls mit den Bürdewerten.";"";"Stück";"USt19";"420,00"
"700005001";"";"Einbau Gateway";"'- Einbau eines Netzbetreiber-Gateway in einer begehbaren Station (Halterungssystem in Station vorhanden)
- sekundärseitige Einbindung des Gateways in die Station (Anschluss Hilfspannung Kommunikation, ggfs. Not AUS)
- Einbau Antenne (Antennendurchlässe durch Baukörper sind bauseits vorhanden)";"";"Stück";"USt19";"475,00"
"70003";"";"FW-5 Modul Ausgänge 8DO";"";"";"Stück";"USt19";"225,00"
"70002";"";"FW-5 Modul Eingänge 8DI";"";"";"Stück";"USt19";"195,00"
"300050";"";"Fahrtkosten";"An- und Abfahrtskosten zum Standort

Dieser Posten enthält die An- und Abfahrtszeit, sowie eine km-Pauschale";"";"Stück";"USt19";"0,00"
"";"";"MS-Wandler-Primärprüfung";"Vereinfachte MS-Primär-Wandlerprüfung aller Kerne und Wicklungen, soweit eine Verdrahtung vorhanden ist, in einem MS-Messfeld, für Zähler, Messgeräte und ggfs. Schutz:

- Primäreinspeisung der Wandler,
- Verdrahtungsprüfung,
- Wandler- und Phasenzuordnungsprüfung,
- Übersetzungsverhältnis,
- Leistungsrichtungsüberprüfung (Polung der Stromwandler),
- ohne Bürdemessung

Inklusive Erstellung eines Wandlerprüfprotokolls";"";"Stück";"USt19";"300,00"
"1";"";"Mehrtagespauschale";"'- hier sind alle Kosten und Nebenkosten für eine Übernachtung der Mitarbeiter vor Ort enthalten
-diese Pauschale wird pro Übernachtung abgerechnet";"fester Wert! -> es sei denn das Hotel konnte nur sehr teuer gebucht werden.";"Stück";"USt19";"130,00"
